00001 A00     0 Cholera                                                      Cholera
00370 A778    1 Other spotted fevers                                         Other spotted fevers
00371 A779    1 Spotted fever, unspecified                                   Spotted fever, unspecified
00372 A78     1 Q fever                                                      Q fever
00373 A79     0 Other rickettsioses                                          Other rickettsioses
00374 A790    1 Trench fever                                                 Trench fever
00375 A791    1 Rickettsialpox due to Rickettsia akari                       Rickettsialpox due to Rickettsia akari
00376 A798    1 Other specified rickettsioses                                Other specified rickettsioses
00377 A799    1 Rickettsiosis, unspecified                                   Rickettsiosis, unspecified
00378 A80     0 Acute poliomyelitis                                          Acute poliomyelitis
00379 A800    1 Acute paralytic poliomyelitis, vaccine-associated            Acute paralytic poliomyelitis, vaccine-associated
00380 A801    1 Acute paralytic poliomyelitis, wild virus, importe           Acute paralytic poliomyelitis, wild virus, imported
00381 A802    1 Acute paralytic poliomyelitis, wild virus, indigen           Acute paralytic poliomyelitis, wild virus, indigenous
00382 A803    1 Acute paralytic poliomyelitis, other and unspecifi           Acute paralytic poliomyelitis, other and unspecified
00383 A804    1 Acute nonparalytic poliomyelitis                             Acute nonparalytic poliomyelitis
00384 A809    1 Acute poliomyelitis, unspecified                             Acute poliomyelitis, unspecified
00385 A81     0 Atypical virus infections of central nervous syste           Atypical virus infections of central nervous system
00386 A810    1 Creutzfeldt-Jakob disease                                    Creutzfeldt-Jakob disease
00387 A811    1 Subacute sclerosing panencephalitis                          Subacute sclerosing panencephalitis
00388 A812    1 Progressive multifocal leukoencephalopathy                   Progressive multifocal leukoencephalopathy
00389 A818    1 Other atypical virus infections of central nervous           Other atypical virus infections of central nervous system
00390 A819    1 Atypical virus infection of central nervous system           Atypical virus infection of central nervous system, unspecified
00391 A82     0 Rabies                                                       Rabies
00392 A820    1 Sylvatic rabies                                              Sylvatic rabies
00393 A821    1 Urban rabies                                                 Urban rabies
00394 A829    1 Rabies, unspecified                                          Rabies, unspecified
00395 A83     0 Mosquito-borne viral encephalitis                            Mosquito-borne viral encephalitis
00396 A830    1 Japanese encephalitis                                        Japanese encephalitis
00397 A831    1 Western equine encephalitis                                  Western equine encephalitis
00398 A832    1 Eastern equine encephalitis                                  Eastern equine encephalitis
00399 A833    1 St. Louis encephalitis                                       St. Louis encephalitis
00400 A834    1 Australian encephalitis                                      Australian encephalitis
00401 A835    1 California encephalitis                                      California encephalitis
00402 A836    1 Rocio virus disease                                          Rocio virus disease
00403 A838    1 Other mosquito-borne viral encephalitis                      Other mosquito-borne viral encephalitis
00404 A839    1 Mosquito-borne viral encephalitis, unspecified               Mosquito-borne viral encephalitis, unspecified
00405 A84     0 Tick-borne viral encephalitis                                Tick-borne viral encephalitis
00406 A840    1 Far Eastern tick-borne encephalitis [Russian sprin           Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
00407 A841    1 Central European tick-borne encephalitis                     Central European tick-borne encephalitis
